"","rn","1","variable","estimate"
"216","Engine.Fuel.Typeregular unleaded:Transmission.TypeMANUAL",-0.0387443631363726,"Engine.Fuel.Typeregular unleaded:Transmission.TypeMANUAL",-0.0387443631363726
"217","Engine.Fuel.Typediesel:Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typediesel:Transmission.TypeUNKNOWN",0
"218","Engine.Fuel.Typeelectric:Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typeelectric:Transmission.TypeUNKNOWN",0
"219","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeUNKNOWN",0
"220","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeUNKNOWN",0
"221","Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeUNKNOWN",0
"222","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeUNKNOWN",0
"223","Engine.Fuel.Typenatural gas:Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typenatural gas:Transmission.TypeUNKNOWN",0
"224","Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeUNKNOWN",0
"225","Engine.Fuel.Typepremium unleaded (required):Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typepremium unleaded (required):Transmission.TypeUNKNOWN",0
"226","Engine.Fuel.Typeregular unleaded:Transmission.TypeUNKNOWN",0,"Engine.Fuel.Typeregular unleaded:Transmission.TypeUNKNOWN",0
"227","Engine.Fuel.Typediesel:Driven_Wheelsfour wheel drive",0.18998512447459,"Engine.Fuel.Typediesel:Driven_Wheelsfour wheel drive",0.18998512447459
"228","Engine.Fuel.Typeelectric:Driven_Wheelsfour wheel drive",0,"Engine.Fuel.Typeelectric:Driven_Wheelsfour wheel drive",0
"229","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Driven_Wheelsfour wheel drive",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Driven_Wheelsfour wheel drive",0
"230","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Driven_Wheelsfour wheel drive",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Driven_Wheelsfour wheel drive",0
"231","Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsfour wheel drive",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsfour wheel drive",0
"232","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Driven_Wheelsfour wheel drive",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Driven_Wheelsfour wheel drive",0
"233","Engine.Fuel.Typenatural gas:Driven_Wheelsfour wheel drive",0,"Engine.Fuel.Typenatural gas:Driven_Wheelsfour wheel drive",0
"234","Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsfour wheel drive",0.10517379513463,"Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsfour wheel drive",0.10517379513463
"235","Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsfour wheel drive",0.127305494071266,"Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsfour wheel drive",0.127305494071266
"236","Engine.Fuel.Typeregular unleaded:Driven_Wheelsfour wheel drive",0,"Engine.Fuel.Typeregular unleaded:Driven_Wheelsfour wheel drive",0
"237","Engine.Fuel.Typediesel:Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typediesel:Driven_Wheelsfront wheel drive",0
"238","Engine.Fuel.Typeelectric:Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typeelectric:Driven_Wheelsfront wheel drive",0
"239","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Driven_Wheelsfront wheel drive",0
"240","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Driven_Wheelsfront wheel drive",0
"241","Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsfront wheel drive",-0.0965578542243249,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsfront wheel drive",-0.0965578542243249
"242","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Driven_Wheelsfront wheel drive",0
"243","Engine.Fuel.Typenatural gas:Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typenatural gas:Driven_Wheelsfront wheel drive",0
"244","Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsfront wheel drive",0
"245","Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsfront wheel drive",-0.0896586174681104,"Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsfront wheel drive",-0.0896586174681104
"246","Engine.Fuel.Typeregular unleaded:Driven_Wheelsfront wheel drive",0,"Engine.Fuel.Typeregular unleaded:Driven_Wheelsfront wheel drive",0
"247","Engine.Fuel.Typediesel:Driven_Wheelsrear wheel drive",0,"Engine.Fuel.Typediesel:Driven_Wheelsrear wheel drive",0
"248","Engine.Fuel.Typeelectric:Driven_Wheelsrear wheel drive",0,"Engine.Fuel.Typeelectric:Driven_Wheelsrear wheel drive",0
"249","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Driven_Wheelsrear wheel drive",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Driven_Wheelsrear wheel drive",0
"250","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Driven_Wheelsrear wheel drive",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Driven_Wheelsrear wheel drive",0
"251","Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsrear wheel drive",0.0247779793735622,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Driven_Wheelsrear wheel drive",0.0247779793735622
"252","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Driven_Wheelsrear wheel drive",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Driven_Wheelsrear wheel drive",0
"253","Engine.Fuel.Typenatural gas:Driven_Wheelsrear wheel drive",0,"Engine.Fuel.Typenatural gas:Driven_Wheelsrear wheel drive",0
"254","Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsrear wheel drive",-0.0154034194504548,"Engine.Fuel.Typepremium unleaded (recommended):Driven_Wheelsrear wheel drive",-0.0154034194504548
"255","Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsrear wheel drive",0.0215551283813305,"Engine.Fuel.Typepremium unleaded (required):Driven_Wheelsrear wheel drive",0.0215551283813305
"256","Engine.Fuel.Typeregular unleaded:Driven_Wheelsrear wheel drive",0,"Engine.Fuel.Typeregular unleaded:Driven_Wheelsrear wheel drive",0
"257","Engine.Fuel.Typediesel:Vehicle.Style2dr SUV",0,"Engine.Fuel.Typediesel:Vehicle.Style2dr SUV",0
"258","Engine.Fuel.Typeelectric:Vehicle.Style2dr SUV",0,"Engine.Fuel.Typeelectric:Vehicle.Style2dr SUV",0
"259","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.Style2dr SUV",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.Style2dr SUV",0
"260","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.Style2dr SUV",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.Style2dr SUV",0
"261","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style2dr SUV",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style2dr SUV",0
"262","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.Style2dr SUV",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.Style2dr SUV",0
"263","Engine.Fuel.Typenatural gas:Vehicle.Style2dr SUV",0,"Engine.Fuel.Typenatural gas:Vehicle.Style2dr SUV",0
"264","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style2dr SUV",0.271463028755238,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style2dr SUV",0.271463028755238
"265","Engine.Fuel.Typepremium unleaded (required):Vehicle.Style2dr SUV",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.Style2dr SUV",0
"266","Engine.Fuel.Typeregular unleaded:Vehicle.Style2dr SUV",0,"Engine.Fuel.Typeregular unleaded:Vehicle.Style2dr SUV",0
"267","Engine.Fuel.Typediesel:Vehicle.Style4dr Hatchback",-0.0596641640886303,"Engine.Fuel.Typediesel:Vehicle.Style4dr Hatchback",-0.0596641640886303
"268","Engine.Fuel.Typeelectric:Vehicle.Style4dr Hatchback",0,"Engine.Fuel.Typeelectric:Vehicle.Style4dr Hatchback",0
"269","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.Style4dr Hatchback",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.Style4dr Hatchback",0
"270","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.Style4dr Hatchback",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.Style4dr Hatchback",0
"271","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style4dr Hatchback",-0.00854633957404957,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style4dr Hatchback",-0.00854633957404957
"272","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.Style4dr Hatchback",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.Style4dr Hatchback",0
"273","Engine.Fuel.Typenatural gas:Vehicle.Style4dr Hatchback",0,"Engine.Fuel.Typenatural gas:Vehicle.Style4dr Hatchback",0
"274","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style4dr Hatchback",-0.0247832321959695,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style4dr Hatchback",-0.0247832321959695
"275","Engine.Fuel.Typepremium unleaded (required):Vehicle.Style4dr Hatchback",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.Style4dr Hatchback",0
"276","Engine.Fuel.Typeregular unleaded:Vehicle.Style4dr Hatchback",0,"Engine.Fuel.Typeregular unleaded:Vehicle.Style4dr Hatchback",0
"277","Engine.Fuel.Typediesel:Vehicle.Style4dr SUV",0,"Engine.Fuel.Typediesel:Vehicle.Style4dr SUV",0
"278","Engine.Fuel.Typeelectric:Vehicle.Style4dr SUV",0,"Engine.Fuel.Typeelectric:Vehicle.Style4dr SUV",0
"279","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.Style4dr SUV",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.Style4dr SUV",0
"280","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.Style4dr SUV",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.Style4dr SUV",0
"281","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style4dr SUV",0.00569358387263419,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.Style4dr SUV",0.00569358387263419
"282","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.Style4dr SUV",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.Style4dr SUV",0
"283","Engine.Fuel.Typenatural gas:Vehicle.Style4dr SUV",0,"Engine.Fuel.Typenatural gas:Vehicle.Style4dr SUV",0
"284","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style4dr SUV",0.006324302347348,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.Style4dr SUV",0.006324302347348
"285","Engine.Fuel.Typepremium unleaded (required):Vehicle.Style4dr SUV",-0.00407386950325352,"Engine.Fuel.Typepremium unleaded (required):Vehicle.Style4dr SUV",-0.00407386950325352
"286","Engine.Fuel.Typeregular unleaded:Vehicle.Style4dr SUV",0,"Engine.Fuel.Typeregular unleaded:Vehicle.Style4dr SUV",0
"287","Engine.Fuel.Typediesel:Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typediesel:Vehicle.StyleCargo Minivan",0
"288","Engine.Fuel.Typeelectric:Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typeelectric:Vehicle.StyleCargo Minivan",0
"289","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCargo Minivan",0
"290","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCargo Minivan",0
"291","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCargo Minivan",0
"292","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCargo Minivan",0
"293","Engine.Fuel.Typenatural gas:Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleCargo Minivan",0
"294","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCargo Minivan",-0.0806914532597242,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCargo Minivan",-0.0806914532597242
"295","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCargo Minivan",0
"296","Engine.Fuel.Typeregular unleaded:Vehicle.StyleCargo Minivan",0,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleCargo Minivan",0
"297","Engine.Fuel.Typediesel:Vehicle.StyleCargo Van",0,"Engine.Fuel.Typediesel:Vehicle.StyleCargo Van",0
"298","Engine.Fuel.Typeelectric:Vehicle.StyleCargo Van",0,"Engine.Fuel.Typeelectric:Vehicle.StyleCargo Van",0
"299","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCargo Van",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCargo Van",0
"300","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCargo Van",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCargo Van",0
"301","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCargo Van",0.0174781595280464,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCargo Van",0.0174781595280464
"302","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCargo Van",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCargo Van",0
"303","Engine.Fuel.Typenatural gas:Vehicle.StyleCargo Van",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleCargo Van",0
"304","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCargo Van",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCargo Van",0
"305","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCargo Van",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCargo Van",0
"306","Engine.Fuel.Typeregular unleaded:Vehicle.StyleCargo Van",-0.0782284453778324,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleCargo Van",-0.0782284453778324
"307","Engine.Fuel.Typediesel:Vehicle.StyleConvertible",0,"Engine.Fuel.Typediesel:Vehicle.StyleConvertible",0
"308","Engine.Fuel.Typeelectric:Vehicle.StyleConvertible",0,"Engine.Fuel.Typeelectric:Vehicle.StyleConvertible",0
"309","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleConvertible",0.056495771136049,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleConvertible",0.056495771136049
"310","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleConvertible",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleConvertible",0
"311","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleConvertible",0.014108380338225,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleConvertible",0.014108380338225
"312","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleConvertible",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleConvertible",0
"313","Engine.Fuel.Typenatural gas:Vehicle.StyleConvertible",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleConvertible",0
"314","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleConvertible",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleConvertible",0
"315","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleConvertible",0.0481046200212875,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleConvertible",0.0481046200212875
"316","Engine.Fuel.Typeregular unleaded:Vehicle.StyleConvertible",0.00189296691030512,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleConvertible",0.00189296691030512
"317","Engine.Fuel.Typediesel:Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typediesel:Vehicle.StyleConvertible SUV",0
"318","Engine.Fuel.Typeelectric:Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typeelectric:Vehicle.StyleConvertible SUV",0
"319","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleConvertible SUV",0
"320","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleConvertible SUV",0
"321","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleConvertible SUV",0
"322","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleConvertible SUV",0
"323","Engine.Fuel.Typenatural gas:Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleConvertible SUV",0
"324","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleConvertible SUV",0.260394756419192,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleConvertible SUV",0.260394756419192
"325","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleConvertible SUV",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleConvertible SUV",0
"326","Engine.Fuel.Typeregular unleaded:Vehicle.StyleConvertible SUV",-0.0173413216468203,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleConvertible SUV",-0.0173413216468203
"327","Engine.Fuel.Typediesel:Vehicle.StyleCoupe",0,"Engine.Fuel.Typediesel:Vehicle.StyleCoupe",0
"328","Engine.Fuel.Typeelectric:Vehicle.StyleCoupe",0,"Engine.Fuel.Typeelectric:Vehicle.StyleCoupe",0
"329","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCoupe",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCoupe",0
"330","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCoupe",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCoupe",0
"331","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCoupe",0.0513928621667204,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCoupe",0.0513928621667204
"332","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCoupe",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCoupe",0
"333","Engine.Fuel.Typenatural gas:Vehicle.StyleCoupe",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleCoupe",0
"334","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCoupe",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCoupe",0
"335","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCoupe",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCoupe",0
"336","Engine.Fuel.Typeregular unleaded:Vehicle.StyleCoupe",0.0130354143021559,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleCoupe",0.0130354143021559
"337","Engine.Fuel.Typediesel:Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typediesel:Vehicle.StyleCrew Cab Pickup",0
"338","Engine.Fuel.Typeelectric:Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typeelectric:Vehicle.StyleCrew Cab Pickup",0
"339","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleCrew Cab Pickup",0
"340","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleCrew Cab Pickup",0
"341","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleCrew Cab Pickup",0
"342","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleCrew Cab Pickup",0
"343","Engine.Fuel.Typenatural gas:Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleCrew Cab Pickup",0
"344","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleCrew Cab Pickup",0
"345","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleCrew Cab Pickup",0
"346","Engine.Fuel.Typeregular unleaded:Vehicle.StyleCrew Cab Pickup",0,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleCrew Cab Pickup",0
"347","Engine.Fuel.Typediesel:Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typediesel:Vehicle.StyleExtended Cab Pickup",0
"348","Engine.Fuel.Typeelectric:Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typeelectric:Vehicle.StyleExtended Cab Pickup",0
"349","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleExtended Cab Pickup",0
"350","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleExtended Cab Pickup",0
"351","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleExtended Cab Pickup",-0.0196115357120055,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleExtended Cab Pickup",-0.0196115357120055
"352","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleExtended Cab Pickup",0
"353","Engine.Fuel.Typenatural gas:Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleExtended Cab Pickup",0
"354","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleExtended Cab Pickup",0
"355","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleExtended Cab Pickup",0
"356","Engine.Fuel.Typeregular unleaded:Vehicle.StyleExtended Cab Pickup",0,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleExtended Cab Pickup",0
"357","Engine.Fuel.Typediesel:Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typediesel:Vehicle.StylePassenger Minivan",0
"358","Engine.Fuel.Typeelectric:Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typeelectric:Vehicle.StylePassenger Minivan",0
"359","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StylePassenger Minivan",0
"360","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StylePassenger Minivan",0
"361","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StylePassenger Minivan",0
"362","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StylePassenger Minivan",0
"363","Engine.Fuel.Typenatural gas:Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typenatural gas:Vehicle.StylePassenger Minivan",0
"364","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StylePassenger Minivan",0
"365","Engine.Fuel.Typepremium unleaded (required):Vehicle.StylePassenger Minivan",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StylePassenger Minivan",0
"366","Engine.Fuel.Typeregular unleaded:Vehicle.StylePassenger Minivan",0.00437809152741526,"Engine.Fuel.Typeregular unleaded:Vehicle.StylePassenger Minivan",0.00437809152741526
"367","Engine.Fuel.Typediesel:Vehicle.StylePassenger Van",0,"Engine.Fuel.Typediesel:Vehicle.StylePassenger Van",0
"368","Engine.Fuel.Typeelectric:Vehicle.StylePassenger Van",0,"Engine.Fuel.Typeelectric:Vehicle.StylePassenger Van",0
"369","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StylePassenger Van",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StylePassenger Van",0
"370","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StylePassenger Van",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StylePassenger Van",0
"371","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StylePassenger Van",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StylePassenger Van",0
